timestamp,temporada,temperatura_ext,temperatura_int,consumo_electrico,kwh_ac,consumo_agua,presion_tuberia,humedad_interior,gas_nivel,gas_flujo,gas_fuga,gas_activo,anomalia,tipo_anomalia,fuente_temp
2025-01-01T23:00:00,invierno,20.16,17.41,0.596,0.0,12.11,2.764,27.5,,,,False,False,,open-meteo-2025
2025-01-01T23:30:00,invierno,20.16,17.55,0.522,0.0,15.75,2.818,31.8,,,,False,False,,open-meteo-2025
2025-01-02T00:00:00,invierno,19.3,17.07,0.524,0.0,18.98,2.704,30.8,,,,False,False,,open-meteo-2025
2025-01-02T00:30:00,invierno,19.3,20.365967059153064,0.516,0.0,17.78,2.569,27.8,,,,False,True,sensor_fallo,open-meteo-2025
2025-01-02T01:00:00,invierno,17.05,14.04,0.56,0.0,16.18,2.499,27.6,,,,False,False,,open-meteo-2025
2025-01-02T01:30:00,invierno,17.05,14.73,0.535,0.0,13.93,2.725,29.6,,,,False,False,,open-meteo-2025
2025-01-02T02:00:00,invierno,14.95,12.97,0.511,0.0,16.11,2.922,26.3,,,,False,False,,open-meteo-2025
2025-01-02T02:30:00,invierno,14.95,12.84,0.522,0.0,16.18,2.841,26.1,,,,False,False,,open-meteo-2025
2025-01-02T03:00:00,invierno,13.15,10.04,0.525,0.0,12.86,2.621,31.2,,,,False,False,,open-meteo-2025
2025-01-02T03:30:00,invierno,13.15,10.1,0.596,0.0,14.71,2.556,26.1,,,,False,False,,open-meteo-2025
2025-01-02T04:00:00,invierno,11.77,9.4,0.628,0.0,11.87,2.977,19.7,,,,False,False,,open-meteo-2025
2025-01-02T04:30:00,invierno,11.77,8.88,0.6,0.0,16.09,2.653,26.7,,,,False,False,,open-meteo-2025
2025-01-02T05:00:00,invierno,10.9,8.92,0.623,0.0,16.89,2.954,30.4,,,,False,False,,open-meteo-2025
2025-01-02T05:30:00,invierno,10.9,8.19,0.562,0.0,19.07,2.9,24.9,,,,False,False,,open-meteo-2025
2025-01-02T06:00:00,invierno,10.6,8.22,0.579,0.0,36.74,2.511,25.2,,,,False,False,,open-meteo-2025
2025-01-02T06:30:00,invierno,10.6,7.88,0.557,0.0,21.61,2.665,28.4,,,,False,False,,open-meteo-2025
2025-01-02T07:00:00,invierno,10.9,8.12,0.566,0.0,24.24,2.823,30.0,,,,False,False,,open-meteo-2025
2025-01-02T07:30:00,invierno,10.9,7.79,0.549,0.0,23.51,2.667,24.1,,,,False,False,,open-meteo-2025
2025-01-02T08:00:00,invierno,11.77,9.01,0.604,0.0,29.08,2.638,23.2,,,,False,False,,open-meteo-2025
2025-01-02T08:30:00,invierno,11.77,9.46,0.552,0.0,29.26,2.622,31.3,,,,False,False,,open-meteo-2025
2025-01-02T09:00:00,invierno,13.15,10.83,0.609,0.0,24.68,2.597,29.1,,,,False,False,,open-meteo-2025
2025-01-02T09:30:00,invierno,13.15,10.37,0.503,0.0,30.78,2.651,28.5,,,,False,False,,open-meteo-2025
2025-01-02T10:00:00,invierno,14.95,12.38,0.527,0.0,19.46,2.809,32.7,,,,False,False,,open-meteo-2025
2025-01-02T10:30:00,invierno,14.95,12.21,0.569,0.0,20.11,2.709,27.1,,,,False,False,,open-meteo-2025
2025-01-02T11:00:00,invierno,17.05,13.95,0.49,0.0,13.01,2.74,26.6,,,,False,False,,open-meteo-2025
2025-01-02T11:30:00,invierno,17.05,14.45,0.568,0.0,8.9,2.872,25.4,,,,False,False,,open-meteo-2025
2025-01-02T12:00:00,invierno,19.3,16.88,0.553,0.0,21.94,2.509,26.9,,,,False,False,,open-meteo-2025
2025-01-02T12:30:00,invierno,19.3,16.77,0.65,0.0,24.08,2.731,29.8,,,,False,False,,open-meteo-2025
2025-01-02T13:00:00,invierno,21.55,19.31,0.535,0.0,30.38,2.647,25.3,,,,False,False,,open-meteo-2025
2025-01-02T13:30:00,invierno,21.55,19.6,0.56,0.0,30.81,2.707,26.2,,,,False,False,,open-meteo-2025
2025-01-02T14:00:00,invierno,23.65,21.24,0.509,0.0,15.57,2.715,31.4,,,,False,False,,open-meteo-2025
2025-01-02T14:30:00,invierno,23.65,21.36,0.497,0.0,13.36,2.781,29.2,,,,False,False,,open-meteo-2025
2025-01-02T15:00:00,invierno,25.45,22.75,0.485,0.0,15.99,2.55,25.6,,,,False,False,,open-meteo-2025
2025-01-02T15:30:00,invierno,25.45,22.85,0.502,0.0,15.49,2.507,33.7,,,,False,False,,open-meteo-2025
2025-01-02T16:00:00,invierno,26.83,24.02,0.61,0.0,12.74,2.871,26.1,,,,False,False,,open-meteo-2025
2025-01-02T16:30:00,invierno,26.83,24.14,0.568,0.0,15.5,2.675,26.8,,,,False,False,,open-meteo-2025
2025-01-02T17:00:00,invierno,27.7,24.88,0.518,0.0,12.18,2.722,25.5,,,,False,False,,open-meteo-2025
2025-01-02T17:30:00,invierno,27.7,24.72,0.519,0.0,12.05,2.562,26.4,,,,False,False,,open-meteo-2025
2025-01-02T18:00:00,invierno,28.0,25.53,0.594,0.0,15.8,2.648,27.2,,,,False,False,,open-meteo-2025
2025-01-02T18:30:00,invierno,28.0,25.55,0.491,0.0,13.25,2.727,30.2,,,,False,False,,open-meteo-2025
2025-01-02T19:00:00,invierno,27.7,25.12,0.57,0.0,24.21,2.65,29.2,,,,False,False,,open-meteo-2025
2025-01-02T19:30:00,invierno,27.7,24.75,0.527,0.0,26.12,2.491,23.9,,,,False,False,,open-meteo-2025
2025-01-02T20:00:00,invierno,26.83,24.1,0.553,0.0,20.27,2.792,31.7,,,,False,False,,open-meteo-2025
2025-01-02T20:30:00,invierno,26.83,24.48,0.593,0.0,32.42,2.362,24.2,,,,False,False,,open-meteo-2025
2025-01-02T21:00:00,invierno,25.45,22.85,0.532,0.0,30.46,2.691,24.8,,,,False,False,,open-meteo-2025
2025-01-02T21:30:00,invierno,25.45,23.79,0.588,0.0,34.77,2.574,27.8,,,,False,False,,open-meteo-2025
2025-01-02T22:00:00,invierno,23.65,21.36,0.577,0.0,33.26,2.696,22.9,,,,False,False,,open-meteo-2025
2025-01-02T22:30:00,invierno,23.65,20.7,0.63,0.0,32.08,2.642,29.3,,,,False,False,,open-meteo-2025
2025-01-02T23:00:00,invierno,21.55,19.94,0.593,0.0,16.55,2.768,25.9,,,,False,False,,open-meteo-2025
2025-01-02T23:30:00,invierno,21.55,19.1,0.567,0.0,15.18,2.621,25.2,,,,False,False,,open-meteo-2025
2025-01-03T00:00:00,invierno,19.65,17.43,0.515,0.0,15.33,2.419,26.7,,,,False,False,,open-meteo-2025
2025-01-03T00:30:00,invierno,19.65,17.12,0.545,0.0,14.28,2.682,25.4,,,,False,False,,open-meteo-2025
2025-01-03T01:00:00,invierno,17.51,14.9,0.571,0.0,18.94,2.549,28.4,,,,False,False,,open-meteo-2025
2025-01-03T01:30:00,invierno,17.51,15.19,0.475,0.0,18.16,2.451,23.8,,,,False,False,,open-meteo-2025
2025-01-03T02:00:00,invierno,15.52,12.76,0.555,0.0,15.75,2.83,28.1,,,,False,False,,open-meteo-2025
2025-01-03T02:30:00,invierno,15.52,13.63,0.566,0.0,15.34,2.568,29.8,,,,False,False,,open-meteo-2025
2025-01-03T03:00:00,invierno,13.82,11.0,0.549,0.0,11.09,2.716,24.2,,,,False,False,,open-meteo-2025
2025-01-03T03:30:00,invierno,13.82,11.19,0.612,0.0,17.16,2.635,27.3,,,,False,False,,open-meteo-2025
2025-01-03T04:00:00,invierno,12.51,10.08,0.615,0.0,18.51,2.651,26.9,,,,False,False,,open-meteo-2025
2025-01-03T04:30:00,invierno,12.51,9.92,0.574,0.0,13.68,2.632,31.0,,,,False,False,,open-meteo-2025
2025-01-03T05:00:00,invierno,11.68,9.13,0.526,0.0,17.24,2.619,28.8,,,,False,False,,open-meteo-2025
2025-01-03T05:30:00,invierno,11.68,9.14,0.604,0.0,13.52,2.775,37.3,,,,False,False,,open-meteo-2025
2025-01-03T06:00:00,invierno,11.4,8.8,0.517,0.0,27.24,2.529,28.5,,,,False,False,,open-meteo-2025
2025-01-03T06:30:00,invierno,11.4,8.87,0.525,0.0,26.62,2.461,26.0,,,,False,False,,open-meteo-2025
2025-01-03T07:00:00,invierno,11.68,8.57,0.556,0.0,26.84,2.526,25.5,,,,False,False,,open-meteo-2025
2025-01-03T07:30:00,invierno,11.68,9.14,0.568,0.0,29.31,2.52,21.6,,,,False,False,,open-meteo-2025
2025-01-03T08:00:00,invierno,12.51,10.32,0.542,0.0,28.66,2.692,27.8,,,,False,False,,open-meteo-2025
2025-01-03T08:30:00,invierno,12.51,11.01,0.588,0.0,26.51,2.577,27.2,,,,False,False,,open-meteo-2025
2025-01-03T09:00:00,invierno,13.82,11.9,0.524,0.0,28.58,2.572,23.9,,,,False,False,,open-meteo-2025
2025-01-03T09:30:00,invierno,13.82,11.36,0.518,0.0,24.96,2.554,27.2,,,,False,False,,open-meteo-2025
2025-01-03T10:00:00,invierno,15.52,12.29,0.591,0.0,18.68,2.768,33.3,,,,False,False,,open-meteo-2025
2025-01-03T10:30:00,invierno,15.52,12.38,0.538,0.0,17.24,2.666,30.3,,,,False,False,,open-meteo-2025
2025-01-03T11:00:00,invierno,17.51,14.9,0.564,0.0,18.35,2.597,25.2,,,,False,False,,open-meteo-2025
2025-01-03T11:30:00,invierno,17.51,14.21,0.57,0.0,17.96,2.812,23.2,,,,False,False,,open-meteo-2025
2025-01-03T12:00:00,invierno,19.65,17.26,0.476,0.0,22.81,2.774,30.8,,,,False,False,,open-meteo-2025
2025-01-03T12:30:00,invierno,19.65,16.93,0.479,0.0,25.26,2.647,32.1,,,,False,False,,open-meteo-2025
2025-01-03T13:00:00,invierno,21.79,18.99,0.581,0.0,21.43,2.468,30.1,,,,False,False,,open-meteo-2025
2025-01-03T13:30:00,invierno,21.79,19.57,0.517,0.0,25.38,2.788,27.7,,,,False,False,,open-meteo-2025
2025-01-03T14:00:00,invierno,23.77,20.66,0.576,0.0,13.29,2.665,17.8,,,,False,False,,open-meteo-2025
2025-01-03T14:30:00,invierno,23.77,21.12,0.523,0.0,17.18,2.713,23.4,,,,False,False,,open-meteo-2025
2025-01-03T15:00:00,invierno,25.48,22.96,0.497,0.0,10.98,2.591,20.9,,,,False,False,,open-meteo-2025
2025-01-03T15:30:00,invierno,25.48,22.89,0.581,0.0,14.32,2.756,25.6,,,,False,False,,open-meteo-2025
2025-01-03T16:00:00,invierno,26.79,24.75,0.501,0.0,11.41,2.464,24.7,,,,False,False,,open-meteo-2025
2025-01-03T16:30:00,invierno,26.79,24.69,0.543,0.0,11.62,2.72,24.3,,,,False,False,,open-meteo-2025
2025-01-03T17:00:00,invierno,27.62,25.18,0.534,0.0,13.83,2.843,20.0,,,,False,False,,open-meteo-2025
2025-01-03T17:30:00,invierno,27.62,24.63,0.538,0.0,16.5,2.711,23.6,,,,False,False,,open-meteo-2025
2025-01-03T18:00:00,invierno,27.9,25.19,0.514,0.0,12.13,2.503,26.8,,,,False,False,,open-meteo-2025
2025-01-03T18:30:00,invierno,27.9,24.84,0.567,0.0,20.27,2.809,25.8,,,,False,False,,open-meteo-2025
2025-01-03T19:00:00,invierno,27.62,25.54,0.571,0.0,33.02,2.672,22.6,,,,False,False,,open-meteo-2025
2025-01-03T19:30:00,invierno,27.62,25.62,0.575,0.0,24.75,2.487,25.0,,,,False,False,,open-meteo-2025
2025-01-03T20:00:00,invierno,26.79,24.54,0.538,0.0,23.9,2.532,23.1,,,,False,False,,open-meteo-2025
2025-01-03T20:30:00,invierno,26.79,24.8,0.498,0.0,31.29,2.888,29.5,,,,False,False,,open-meteo-2025
2025-01-03T21:00:00,invierno,25.48,22.26,0.545,0.0,26.36,2.425,23.8,,,,False,False,,open-meteo-2025
2025-01-03T21:30:00,invierno,25.48,23.33,0.594,0.0,30.65,2.595,22.9,,,,False,False,,open-meteo-2025
2025-01-03T22:00:00,invierno,23.78,21.69,0.512,0.0,35.24,2.384,24.2,,,,False,False,,open-meteo-2025
2025-01-03T22:30:00,invierno,23.78,21.87,0.483,0.0,27.76,2.633,24.0,,,,False,False,,open-meteo-2025
2025-01-03T23:00:00,invierno,21.79,18.85,0.524,0.0,14.62,2.83,28.3,,,,False,False,,open-meteo-2025
2025-01-03T23:30:00,invierno,21.79,18.89,0.519,0.0,15.58,2.568,25.2,,,,False,False,,open-meteo-2025
2025-01-04T00:00:00,invierno,18.95,16.11,0.498,0.0,13.67,2.612,26.6,,,,False,False,,open-meteo-2025
2025-01-04T00:30:00,invierno,18.95,16.18,0.561,0.0,15.35,2.743,26.3,,,,False,False,,open-meteo-2025
2025-01-04T01:00:00,invierno,17.18,14.81,0.557,0.0,14.23,2.765,23.5,,,,False,False,,open-meteo-2025
2025-01-04T01:30:00,invierno,17.18,15.14,0.614,0.0,18.1,2.895,22.8,,,,False,False,,open-meteo-2025
2025-01-04T02:00:00,invierno,15.52,12.7,0.51,0.0,17.68,2.726,29.9,,,,False,False,,open-meteo-2025
2025-01-04T02:30:00,invierno,15.52,13.26,0.567,0.0,14.03,2.659,26.3,,,,False,False,,open-meteo-2025
2025-01-04T03:00:00,invierno,14.11,11.99,0.539,0.0,11.98,2.81,29.9,,,,False,False,,open-meteo-2025
2025-01-04T03:30:00,invierno,14.11,11.31,0.533,0.0,16.42,2.798,29.2,,,,False,False,,open-meteo-2025
2025-01-04T04:00:00,invierno,13.02,10.91,0.593,0.0,17.57,2.649,25.3,,,,False,False,,open-meteo-2025
2025-01-04T04:30:00,invierno,13.02,11.01,0.519,0.0,13.37,2.723,29.6,,,,False,False,,open-meteo-2025
2025-01-04T05:00:00,invierno,12.33,10.08,0.562,0.0,18.15,2.556,33.3,,,,False,False,,open-meteo-2025
2025-01-04T05:30:00,invierno,12.33,10.05,0.619,0.0,14.24,2.807,25.0,,,,False,False,,open-meteo-2025
2025-01-04T06:00:00,invierno,12.1,9.59,0.534,0.0,35.57,2.456,22.6,,,,False,False,,open-meteo-2025
2025-01-04T06:30:00,invierno,12.1,9.8,0.544,0.0,25.8,2.593,27.0,,,,False,False,,open-meteo-2025
2025-01-04T07:00:00,invierno,12.33,9.01,0.564,0.0,24.76,2.675,27.9,,,,False,False,,open-meteo-2025
2025-01-04T07:30:00,invierno,12.33,9.42,0.545,0.0,22.54,2.817,24.6,,,,False,False,,open-meteo-2025
2025-01-04T08:00:00,invierno,13.02,10.19,0.577,0.0,13.27,2.514,28.5,,,,False,False,,open-meteo-2025
2025-01-04T08:30:00,invierno,13.02,9.89,0.563,0.0,29.43,2.571,22.0,,,,False,False,,open-meteo-2025
2025-01-04T09:00:00,invierno,14.11,12.05,0.622,0.0,23.18,2.881,27.4,,,,False,False,,open-meteo-2025
2025-01-04T09:30:00,invierno,14.11,11.54,0.58,0.0,22.02,2.67,23.1,,,,False,False,,open-meteo-2025
2025-01-04T10:00:00,invierno,15.52,13.39,0.551,0.0,13.66,2.83,29.3,,,,False,False,,open-meteo-2025
