timestamp,temporada,temperatura_ext,temperatura_int,consumo_electrico,kwh_ac,consumo_agua,presion_tuberia,humedad_interior,gas_nivel,gas_flujo,gas_fuga,gas_activo,anomalia,tipo_anomalia,fuente_temp
2025-01-01 00:00:00,invierno,18.15,15.76,0.586,0.0,13.9,2.603,26.6,,,,False,False,,open-meteo-2025
2025-01-01 00:30:00,invierno,18.15,15.99,0.595,0.0,11.42,2.621,30.2,,,,False,False,,open-meteo-2025
2025-01-01 01:00:00,invierno,16.14,13.51,0.511,0.0,19.06,2.778,26.5,99.96,12.2,False,True,False,,open-meteo-2025
2025-01-01 01:30:00,invierno,16.14,14.28,0.531,0.0,14.82,2.849,25.1,,,,False,False,,open-meteo-2025
2025-01-01 02:00:00,invierno,14.27,11.8,0.539,0.0,13.88,2.731,26.0,,,,False,False,,open-meteo-2025
2025-01-01 02:30:00,invierno,14.27,12.16,0.545,0.0,16.02,2.792,25.9,,,,False,False,,open-meteo-2025
2025-01-01 03:00:00,invierno,12.67,10.01,0.589,0.0,13.07,2.849,25.3,,,,False,False,,open-meteo-2025
2025-01-01 03:30:00,invierno,12.67,9.6,0.5,0.0,17.52,2.686,27.1,,,,False,False,,open-meteo-2025
2025-01-01 04:00:00,invierno,11.44,9.14,0.538,0.0,13.05,2.516,29.2,,,,False,False,,open-meteo-2025
2025-01-01 04:30:00,invierno,11.44,9.74,0.567,0.0,13.77,2.869,33.2,99.84,3.6,False,True,False,,open-meteo-2025
2025-01-01 05:00:00,invierno,10.66,8.52,0.563,0.0,15.2,2.566,24.3,,,,False,False,,open-meteo-2025
2025-01-01 05:30:00,invierno,10.66,7.98,0.553,0.0,19.65,2.836,28.0,,,,False,False,,open-meteo-2025
2025-01-01 06:00:00,invierno,10.4,8.27,0.54,0.0,26.33,2.458,28.8,,,,False,False,,open-meteo-2025
2025-01-01 06:30:00,invierno,10.4,7.89,0.565,0.0,24.68,2.657,33.9,,,,False,False,,open-meteo-2025
2025-01-01 07:00:00,invierno,10.66,7.76,0.567,0.0,27.71,2.766,33.6,99.75,14.2,False,True,False,,open-meteo-2025
2025-01-01 07:30:00,invierno,10.66,8.21,0.596,0.0,29.75,2.661,28.3,99.73,0.0,False,True,False,,open-meteo-2025
2025-01-01 08:00:00,invierno,11.44,8.82,0.541,0.0,20.27,2.801,27.8,,,,False,False,,open-meteo-2025
